
running 322 tests
test reference_fixtures_nonreg_simple_A0004_puml ... FAILED
test reference_fixtures_misc_skinparam_roundcorner001_puml ... FAILED
test reference_fixtures_nonreg_simple_A0002_puml ... FAILED
test reference_fixtures_nonreg_simple_ChenRankDir_puml ... FAILED
test reference_fixtures_nonreg_simple_ChenMovie_puml ... ok
test reference_fixtures_nonreg_simple_A0000_puml ... FAILED
test reference_fixtures_nonreg_simple_A0001_puml ... FAILED
test reference_fixtures_nonreg_simple_ComponentExtraArrows_0001_puml ... FAILED
test reference_fixtures_nonreg_simple_ChenMovieExtended_puml ... ok
test reference_fixtures_nonreg_simple_ChenMovieAlias_puml ... ok
test reference_fixtures_nonreg_simple_A0003_puml ... FAILED
test reference_fixtures_nonreg_simple_A0006_puml ... FAILED
test reference_fixtures_nonreg_scxml_SCXML0003_puml ... FAILED
test reference_fixtures_nonreg_simple_HideShow003_puml ... FAILED
test reference_fixtures_nonreg_simple_A0005_puml ... FAILED
test reference_fixtures_nonreg_simple_HideShow001_puml ... FAILED
test reference_fixtures_nonreg_simple_HideShow004_puml ... FAILED
test reference_fixtures_nonreg_simple_HideShow002_puml ... FAILED
test reference_fixtures_nonreg_simple_SequenceLayout_0002_puml ... FAILED
test reference_fixtures_nonreg_simple_SequenceLayout_0001_puml ... FAILED
test reference_fixtures_nonreg_simple_SequenceLayout_0003_puml ... FAILED
test reference_fixtures_nonreg_simple_SequenceLayout_0004_puml ... FAILED
test reference_fixtures_nonreg_simple_SequenceLayout_0006_puml ... FAILED
test reference_fixtures_nonreg_simple_SequenceLayout_0001b_puml ... FAILED
test reference_fixtures_nonreg_simple_SequenceLayout_0001c_puml ... FAILED
test reference_fixtures_nonreg_simple_SequenceLayout_0005b_puml ... FAILED
test reference_fixtures_nonreg_simple_SequenceLayout_0005_puml ... FAILED
test reference_fixtures_nonreg_simple_QualifiedAssoc002_puml ... FAILED
test reference_fixtures_nonreg_simple_SequenceLeftMessageAndActiveLifeLines_0001_puml ... FAILED
test reference_fixtures_misc_link_url_tooltip_05_puml ... FAILED
test reference_fixtures_nonreg_simple_SequenceArrows_0001_puml ... FAILED
test reference_fixtures_nonreg_simple_SequenceArrows_0002_puml ... FAILED
test reference_fixtures_nonreg_simple_TeozAltElseParallel_0001_puml ... FAILED
test reference_fixtures_nonreg_simple_TeozAltElseParallel_0003_puml ... FAILED
test reference_fixtures_nonreg_simple_TeozAltElseParallel_0002_puml ... FAILED
test reference_fixtures_nonreg_simple_TeozAltElseParallel_0004_puml ... FAILED
test reference_fixtures_nonreg_simple_TeozAltElseParallel_0005_puml ... FAILED
test reference_fixtures_nonreg_simple_SequenceLeftMessageAndActiveLifeLines_0002_puml ... FAILED
test reference_fixtures_nonreg_simple_TeozTimelineIssues_0001_puml ... FAILED
test reference_fixtures_nonreg_simple_TimingMessageArrowFont_0001_puml ... FAILED
test reference_fixtures_nonreg_simple_TeozTimelineIssues_0003_puml ... FAILED
test reference_fixtures_nonreg_simple_TeozAltElseParallel_0006_puml ... FAILED
test reference_fixtures_nonreg_simple_TimingMessageArrowFont_0002_puml ... FAILED
test reference_fixtures_nonreg_simple_TeozTimelineIssues_0004_puml ... FAILED
test reference_fixtures_nonreg_simple_TeozTimelineIssues_0005_puml ... FAILED
